,accuracy,recall,f1_score,model
Logistic Regression,0.8,0.8301886792452831,0.8380952380952381,"LogisticRegression(max_iter=1000, random_state=42)"
SVM,0.8588235294117647,0.8867924528301887,0.8867924528301887,"SVC(probability=True, random_state=42)"
KNN,0.8,0.9622641509433962,0.8571428571428571,KNeighborsClassifier()
Decision Tree,0.6705882352941176,0.7547169811320755,0.7407407407407407,DecisionTreeClassifier(random_state=42)
MLP,0.8117647058823529,0.8113207547169812,0.8431372549019608,"MLPClassifier(max_iter=1000, random_state=42)"
LightGBM,0.8705882352941177,0.9245283018867925,0.8990825688073395,"LGBMClassifier(random_state=42, verbosity=-1)"
